Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,This data was collected by keeping the laptop in the original position with no alteration and streaming a video on a cellphone near the laptop.
3,0.0784789,[543530 3C2B43],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = UXRD",
4,0.1072237,[543530 3C2B43],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = UXRD",
5,0.1083488,[2C6E85 F341CA],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
6,0.1783589,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
7,0.1826051,[2C6E85 F341CA],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
8,0.2070772,[2C6E85 F341CA],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
9,0.2770355,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
10,0.3793934,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
11,0.4159446,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
12,0.4272407,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
13,0.4359909,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
14,0.4500300,[404E36 6CABFE],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
15,0.4818017,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
16,0.5841057,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
17,0.6891155,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
18,0.7890802,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
19,0.8479619,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
20,0.8528970,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
21,0.8540217,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
22,0.8936666,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
23,0.8942747,[24DEC6 11EF61],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
24,0.8953464,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
25,0.8964036,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
26,0.9201530,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = BroadCast SSID",
27,0.9261183,[80000B C94267],[*BROADCAST],218 (0xDA),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 218 dBm, Rate = Unknown, SSID = tamulink-wpa",
